Genre,Artist,Artist ID,Collaborator,Collaborator ID,Album,Album Type,Album ID
jazz,The Andrews Sisters,2NCGI6dLTxLdI9XHdv7QfM,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,The Essential Collection,album,46GwXQkUlYqt7ehUlCe1KF
jazz,Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,Lee Konitz,4YNvbaOaqp5pzC5US5t48k,Crosscurrents,album,7IS3UUzkdH3G881AgUOoZK
jazz,Bill Evans Trio,3VEG6gxFIMfl4Cdog26avS,Monica Zetterlund,7mvvG63CNSY93JWAJ37rnD,Waltz For Debby,album,0WKKT12LLXpCZkOR4H9euq
jazz,Nancy Wilson,2JfVCMa3FlvQRlLT5uH9zb,Teodorico Pedrini,1XwQTG3ll688Kt9VAwAA1I,Pedrini: Complete Violin Sonatas,album,071diE0s32x48xIIhEs5WS
jazz,Nancy Wilson,2JfVCMa3FlvQRlLT5uH9zb,George Shearing Quintet,6uduXqfPOgmcelx9Kclo3y,The Swingin's Mutual (Original Album Plus Bonus Tracks 1960),album,3Ca0Ii0PZdaj1196FwkVMU
jazz,Mel Torm,4X8QFzZ1HqwPfwDfyjtwXC,Gerry Mulligan,6l40OFJhuTbHQ9V12evc9K,The Classic Concert Live,album,0aGbP1QfJ6beGHdSLPyVXU
jazz,Mel Torm,4X8QFzZ1HqwPfwDfyjtwXC,Ray Anthony,5YRqxl4KfzKkFBMu408yv6,Live At The Playboy Jazz Festival,album,1wZmrqpWoAXQo5vwgpzCUr
jazz,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,The Singers Unlimited,3RsROIs1zuuC3lwIdhJ0if,In Tune (Remastered Anniversary Edition),album,0oTtARc2WdGccztaqhghPW
jazz,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Sonny Stitt,217b0uqAzsOOhGcnoANZqj,Sonny Stitt Sits In With The Oscar Peterson Trio,album,1wOXBNVlNBZKqr9SPZ8VDu
jazz,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Lester Young,05E3NBxNMdnrPtxF9oraJm,Lester Young With The Oscar Peterson Trio (Originals International Version),album,5oWrfeHVKKxdjmPhqV9lnV
jazz,Oscar Peterson Trio,0ldU0QJm31y0d6f57R1G2A,Lester Young,05E3NBxNMdnrPtxF9oraJm,Lester Young With The Oscar Peterson Trio,album,4LT6FAMWGSf3qpPn3Wdyh1
jazz,Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,Lester Young,05E3NBxNMdnrPtxF9oraJm,Classic Tenors,album,3LT0OBrTUcFz9T8y1qm8sk
jazz,Coleman Hawkins,0JM134st8VY7Ld9T2wQiH0,Ben Webster,34W7ZCX0LZeJd8q6boKGOk,Coleman Hawkins Encounters Ben Webster (Originals International Version),album,2q3KiNtQehjsBMiD3bctTO
jazz,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S,Fancy Meeting You Here,album,1XM7cZ9GPJiEuXjIuQipPj
jazz,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,Big Kahuna and the Copa Cat Pack,3iGq2LBMHaB9XLmPMopIV4,Sentimental Journey -- The Girl Singer And Her New Big Band,album,3S0WqSvuw2g3J5LmzJabwD
jazz,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,John Pizzarelli,5Yc3oYPNlABAj17eZiNJqf,Brazil,album,3mSIE6Z8Wry29CnGwaeUHO
jazz,Rosemary Clooney,0NkyXWGxE3WTFixDSJ39PK,Count Basie Orchestra,2Hn9fch2OLB5jZuEAVjTCe,At Long Last,album,6vrGJAXYexNhiqfKmgMf7N
