Artist,Genre,Artist_uri,Artist_id
Kygo,pop,spotify:artist:23fqKkggKUBHNkbKtXEls4,23fqKkggKUBHNkbKtXEls4
One Direction,pop,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,4AK6F7OLvEQ5QYCBNiQWHq
A Boogie Wit da Hoodie,pop,spotify:artist:31W5EY0aAly4Qieq6OFu6I,31W5EY0aAly4Qieq6OFu6I
Hailee Steinfeld,pop,spotify:artist:5p7f24Rk5HkUZsaS3BLG5F,5p7f24Rk5HkUZsaS3BLG5F
Fall Out Boy,pop,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,4UXqAaa6dQYAk18Lv7PEgX
Imagine Dragons,rock,spotify:artist:53XhwfbYqKCa1cC15pYq2q,53XhwfbYqKCa1cC15pYq2q
Queen,rock,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,1dfeR4HaWDbWqFHLkxsg1d
Twenty One Pilots,rock,spotify:artist:3YQKmKGau1PzlVlkL1iodx,3YQKmKGau1PzlVlkL1iodx
Panic! At The Disco,rock,spotify:artist:20JZFwl6HVl6yg8a4H3ZqK,20JZFwl6HVl6yg8a4H3ZqK
The Beatles,rock,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2
Bastille,rock,spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc,7EQ0qTo7fWT7DPxmxtSYEc
Led Zeppelin,rock,spotify:artist:36QJpDe2go2KgaRleHCDTp,36QJpDe2go2KgaRleHCDTp
Fleetwood Mac,rock,spotify:artist:08GQAI4eElDnROBrJRGE0X,08GQAI4eElDnROBrJRGE0X
AC/DC,rock,spotify:artist:711MCceyCBcFnzjGY4Q7Un,711MCceyCBcFnzjGY4Q7Un
Fall Out Boy,rock,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,4UXqAaa6dQYAk18Lv7PEgX
Florida Georgia Line,rock,spotify:artist:3b8QkneNDz4JHKKKlLgYZg,3b8QkneNDz4JHKKKlLgYZg
Elton John,rock,spotify:artist:3PhoLpVuITZKcymswpck5b,3PhoLpVuITZKcymswpck5b
Pink Floyd,rock,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,0k17h0D3J5VfsdmQ1iZtE9
Red Hot Chili Peppers,rock,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,0L8ExT028jH3ddEcZwqJJ5
John Mayer,rock,spotify:artist:0hEurMDQu99nJRq8pTxO14,0hEurMDQu99nJRq8pTxO14
The Killers,rock,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,0C0XlULifJtAgn6ZNCW2eu
Metallica,rock,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,2ye2Wgw4gimLv2eAKyk1NB
Arctic Monkeys,rock,spotify:artist:7Ln80lUS6He07XvHI8qqHH,7Ln80lUS6He07XvHI8qqHH
Eagles,rock,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,0ECwFtbIWEVNwjlrfc6xoL
