Artist,Genre,Artist_uri,Artist_id,Followers
The Temptations,soul,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,3RwQ26hR2tJtA8F9p2n7jG,1141079
Ms. Lauryn Hill,soul,spotify:artist:2Mu5NfyYm8n5iTomuKAEHl,2Mu5NfyYm8n5iTomuKAEHl,1068578
Al Green,soul,spotify:artist:3dkbV4qihUeMsqN4vBGg93,3dkbV4qihUeMsqN4vBGg93,972375
Rag'n'Bone Man,soul,spotify:artist:4f9iBmdUOhQWeP7dcAn1pf,4f9iBmdUOhQWeP7dcAn1pf,812726
Luther Vandross,soul,spotify:artist:19y5MFBH7gohEdGwKM7QsP,19y5MFBH7gohEdGwKM7QsP,802178
Jill Scott,soul,spotify:artist:6AVLthptCPhfrxlHadOBJD,6AVLthptCPhfrxlHadOBJD,791286
Etta James,soul,spotify:artist:0iOVhN3tnSvgDbcg25JoJb,0iOVhN3tnSvgDbcg25JoJb,762823
Chuck Berry,soul,spotify:artist:293zczrfYafIItmnmM3coR,293zczrfYafIItmnmM3coR,752299
James Blake,soul,spotify:artist:53KwLdlmrlCelAZMaLVZqU,53KwLdlmrlCelAZMaLVZqU,731564
Anthony Hamilton,soul,spotify:artist:2DzRMyWgjuMbYvt5BLbpCo,2DzRMyWgjuMbYvt5BLbpCo,728946
Sam Cooke,soul,spotify:artist:6hnWRPzGGKiapVX1UCdEAC,6hnWRPzGGKiapVX1UCdEAC,728043
Maxwell,soul,spotify:artist:2AOt5htsbtyaHd5Eq3kl3j,2AOt5htsbtyaHd5Eq3kl3j,712731
Joe,soul,spotify:artist:3zTOe1BtyTkwNvYZOxXktX,3zTOe1BtyTkwNvYZOxXktX,688273
The Isley Brothers,soul,spotify:artist:53QzNeFpzAaXYnrDBbDrIp,53QzNeFpzAaXYnrDBbDrIp,659724
D'Angelo,soul,spotify:artist:336vr2M3Va0FjyvB55lJEd,336vr2M3Va0FjyvB55lJEd,633631
Janelle Mone,soul,spotify:artist:6ueGR6SWhUJfvEhqkvMsVs,6ueGR6SWhUJfvEhqkvMsVs,570611
