Genre,Artist,Artist_id,Song,Song_id,Audio_Metric
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,"[0.14, 0.54, 0.59]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,"[0.44, 0.56, 0.74]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,"[0.29, 0.54, 0.56]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Congratulations,3a1lNhkSLSkpJE4MSHpDu9,"[0.49, 0.8, 0.63]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Candy Paint,32lItqlMi4LBhb4k0BaSaC,"[0.44, 0.65, 0.67]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Ball For Me (feat. Nicki Minaj),6IaieqiCVvsNvEt6Y7yOFa,"[0.51, 0.56, 0.79]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Go Flex,5yuShbu70mtHXY0yLzCQLQ,"[0.13, 0.5, 0.67]"
['pop'],Post Malone,246dkjvS1zLTtiykXe5h60,Stay,4H7WNRErSbONkM06blBoGc,"[0.35, 0.47, 0.48]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,"[0.32, 0.68, 0.56]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,"[0.12, 0.3, 0.35]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,"[0.11, 0.55, 0.6]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,"[0.34, 0.65, 0.71]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,"[0.22, 0.69, 0.51]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,"[0.34, 0.44, 0.55]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Suncity (feat. Empress Of),4AhSkRYioEIfGvCV19peYN,"[0.34, 0.64, 0.69]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,"[0.39, 0.54, 0.8]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,Silence,7vGuf3Y35N4wmASOKLUVVU,"[0.29, 0.76, 0.52]"
"['pop', 'indie']",Khalid,6LuN9FCkKOj5PcnpouEgny,OTW,6Hgh47WXVKtXN5zGOu0hjI,"[0.28, 0.68, 0.65]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Mona Lisa (feat. Kendrick Lamar),0dbTQYW3Ad1FTzIA9t90E8,"[0.49, 0.69, 0.85]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Uproar,3wScL5W8H40zzCKN0atfBk,"[0.88, 0.87, 0.74]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Don't Cry (feat. XXXTENTACION),5BQrp63SHCVf4bzCzJePne,"[0.21, 0.71, 0.58]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Let It Fly (feat. Travis Scott),0CBQ0m3mufWH75LTYB3s6h,"[0.75, 0.82, 0.9]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,"[0.74, 0.79, 0.5]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Codeine Dreaming (feat. Lil Wayne),4DTpngLjoHj5gFxEZFeD3J,"[0.57, 0.6, 0.74]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Dedicate,0Y7di9ZCmB6Elad5WISaPc,"[0.72, 0.66, 0.88]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,Can't Be Broken,5cGpjfgAvidLy6znwkCxkP,"[0.15, 0.58, 0.58]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,What About Me (feat. Sosamann),3JX0dOCIAiaR8MP3ryXWuM,"[0.22, 0.44, 0.78]"
"['pop', 'hip-hop']",Lil Wayne,55Aa2cqylxrFIXC767Z865,A Milli,6ScJMrlpiLfZUGtWp4QIVt,"[0.76, 0.68, 0.68]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,"[0.36, 0.67, 0.9]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Close Friends (Lil Baby & Gunna),5nzhL67GpF9szXWg5y509A,"[0.66, 0.58, 0.67]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Life Goes On,2bSk87AVkCIIC3Bcligq1z,"[0.39, 0.54, 0.72]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,"[0.27, 0.51, 0.88]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Time (feat. Meek Mill),1Szfm2XAx3Kgl55dyl8sTU,"[0.34, 0.49, 0.79]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,"[0.11, 0.5, 0.96]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh,"[0.1, 0.4, 0.8]"
['pop'],Lil Baby,5f7VJjfbwm532GiveGC0ZK,Off White VLONE (Lil Baby & Gunna feat. Lil Durk & NAV),6PoKfDY78ih5OveWirggRX,"[0.15, 0.52, 0.85]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,I Like It,58q2HKrzhC3ozto2nDdN4z,"[0.65, 0.73, 0.82]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Money,2GGMabyHXnJmjY6CXhhB2e,"[0.22, 0.59, 0.95]"
['pop'],Cardi B,4kYSro6naA4h99UJvo89HB,Finesse (Remix) [feat. Cardi B],3Vo4wInECJQuz9BIBMOu8i,"[0.93, 0.86, 0.7]"
