Artist,Artist_id,ArtistColab,ArtistColab_id,Song,Song_id
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Wale,67nwj3Y5sZQLl72VNUHEYE,Fish N Grits (feat. Travis Scott),1Udn6iwy5SH5siTpzduvQB
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",4mz10cELD7AjqgQUpAn3YH
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",4mz10cELD7AjqgQUpAn3YH
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",1Si44I1mrFkOWlL6u9ynr6
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",1Si44I1mrFkOWlL6u9ynr6
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",53MHr9cjIlwet0mpmqNvjC
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Quavo,0VRj0yCOv2FXJNP47XQnx5,"Go Off (with Lil Uzi Vert, Quavo & Travis Scott)",53MHr9cjIlwet0mpmqNvjC
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Young Thug,50co4Is1HCEo8bhOyUWKpn,pick up the phone,4GXl8l1MfZPf2GvpyRPJBf
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Young Thug,50co4Is1HCEo8bhOyUWKpn,pick up the phone,1mHTmGzh75crFRfAWmKwLs
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Whole Lotta Lovin' - With You Remix,08GSP3de4vNyAkPkJirmhi
